CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE
50112356,QUESADILLAS DONA MATY,Manhattan,228,EAST  116 STREET,10029,6467896237,Mexican,8/29/23,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,65,N
40904478,LOVELY DAY,Manhattan,196,ELIZABETH STREET,10012,2129253310,Thai,8/29/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,23,
50126421,BLANK STREET COFFEE,Brooklyn,75,LAFAYETTE AVENUE,11217,3477279842,Coffee/Tea,8/29/23,Violations were cited in the following area(s).,10D,"Mechanical or natural ventilation not provided, inadequate, improperly installed, in disrepair or fails to prevent and control excessive build-up of grease, heat, steam condensation, vapors, odors, smoke or fumes.",Not Critical,9,A
50112356,QUESADILLAS DONA MATY,Manhattan,228,EAST  116 STREET,10029,6467896237,Mexican,8/29/23,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,65,N
41449587,CASK BAR & KITCHEN,Manhattan,167,EAST   33 STREET,10016,2123004924,American,8/29/23,Violations were cited in the following area(s).,04C,Food worker/food vendor does not use utensil or other barrier to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,Critical,12,A
50058801,PURE GREEN,Brooklyn,95,BOERUM PLACE,11201,9173983488,"Juice, Smoothies, Fruit Salads",8/29/23,Violations were cited in the following area(s).,08C,"Pesticide not properly labeled or used by unlicensed individual. Pesticide, other toxic chemical improperly used/stored. Unprotected, unlocked bait station used.",Not Critical,31,
50136280,XI JIANG QIAN HU NOODLE INC,Queens,4128,MAIN ST,11355,7187990619,Chinese,8/29/23,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,43,Z
41603722,KING BAKERY,Manhattan,90,EAST BROADWAY,10002,9172156855,Bakery Products/Desserts,8/29/23,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,19,
50123720,VANILLA GORILLA CAFE,Manhattan,64,WEST   15 STREET,10011,7187843626,Sandwiches/Salads/Mixed Buffet,8/29/23,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,40,N
41603722,KING BAKERY,Manhattan,90,EAST BROADWAY,10002,9172156855,Bakery Products/Desserts,8/29/23,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,19,
