CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location Point1
50172762,THE CITY DINER,Queens,6535,GRAND AVE,11378,7188946923,American,8/28/25,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,43,N,,9/5/25,Pre-permit (Operational) / Initial Inspection,40.72360558,-73.89975889,405,30,051700,4437562,4027160037,QN30,
41495525,SINGAS FAMOUS PIZZA,Brooklyn,512,GRAND STREET,11211,7187822100,Pizza,8/28/25,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,8,A,8/28/25,9/5/25,Cycle Inspection / Initial Inspection,40.71099358,-73.95056169,301,34,051300,3338202,3027850009,BK73,
50172762,THE CITY DINER,Queens,6535,GRAND AVE,11378,7188946923,American,8/28/25,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,43,N,,9/5/25,Pre-permit (Operational) / Initial Inspection,40.72360558,-73.89975889,405,30,051700,4437562,4027160037,QN30,
50104827,SOCIAL HOUSE,Brooklyn,60,BROADWAY,11249,6315786030,Coffee/Tea,8/28/25,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,38,,,9/5/25,Cycle Inspection / Initial Inspection,40.71057389,-73.96642573,301,33,054900,3059506,3021307501,BK73,
50138023,THE VICTORIA THEATER RESTAURANT,Manhattan,233,WEST  125 STREET,10027,3322668727,American,8/28/25,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,25,Z,8/28/25,9/5/25,Cycle Inspection / Re-inspection,40.80945583,-73.94946234,110,09,022200,1058657,1019317501,MN11,
41680485,FLAMINGO RESTAURANT AND MANTRA LOUNGE,Queens,1200406,ROCKAWAY BLVD,,7188351000,Indian,8/28/25,Violations were cited in the following area(s).,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical,9,A,8/28/25,9/5/25,Cycle Inspection / Initial Inspection,0,0,,,,,4,,
50145498,FICUZZA,Manhattan,117,7 AVENUE SOUTH,10014,6467615008,Italian,8/28/25,Violations were cited in the following area(s).,20-08,Failure to post or conspicuously post healthy eating information,Not Critical,,,,9/5/25,Administrative Miscellaneous / Initial Inspection,40.73397791,-74.00257994,102,03,007300,1010667,1006100016,MN23,
50090255,THANK YOU COME AGAIN,Brooklyn,455,ALBEE SQ,11201,9293887878,Thai,8/28/25,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,9,A,8/28/25,9/5/25,Cycle Inspection / Initial Inspection,40.69061214,-73.98346312,302,33,001500,,3,BK38,
50141048,CAFE 58 PIZZERIA & GRILL,Brooklyn,169,58 STREET,11220,9179090505,Pizza,8/28/25,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,13,A,8/28/25,9/5/25,Cycle Inspection / Initial Inspection,40.64507803,-74.02240283,307,38,002200,3015573,3008440047,BK32,
41072936,LADY M CONFECTIONS,Manhattan,41,EAST   78 STREET,10075,3479716888,Bakery Products/Desserts,8/28/25,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7,A,8/28/25,9/5/25,Cycle Inspection / Initial Inspection,40.77548897,-73.962266,108,04,014200,1083090,1013930023,MN40,
