CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE
50149672,DAUGHTER,Brooklyn,1090,SAINT JOHNS PLACE,11213,5516899775,Coffee/Tea,9/6/24,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,57,Z
50076144,DI AN DI,Brooklyn,68,GREENPOINT AVENUE,11222,7185763914,Southeast Asian,9/6/24,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,23,
50147216,TOKYO YA,Queens,3606,DITMARS BLVD,11105,3124939916,Japanese,9/6/24,Violations were cited in the following area(s).,09A,"Swollen, leaking, rusted or otherwise damaged canned food to be returned to distributor not segregated from intact product and clearly labeled DO NOT USE",Critical,35,N
50152131,CRUMBL COOKIES,Staten Island,423,FOREST AVENUE,10301,3476805320,Bakery Products/Desserts,9/6/24,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,21,Z
50156888,OMAR CAKES,Bronx,1830,ARCHER STREET,10460,3474018613,Bakery Products/Desserts,9/6/24,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,26,N
50037446,YOFRESH YOGURT CAFE,Queens,5456,MYRTLE AVE,11385,7183812116,Frozen Desserts,9/6/24,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,13,A
50149672,DAUGHTER,Brooklyn,1090,SAINT JOHNS PLACE,11213,5516899775,Coffee/Tea,9/6/24,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,57,Z
50156888,OMAR CAKES,Bronx,1830,ARCHER STREET,10460,3474018613,Bakery Products/Desserts,9/6/24,Violations were cited in the following area(s).,15-37,Workplace SFAA policy not prominently posted in workplace.,Not Applicable,,
50015185,MARCY & MYRTLE COFFEE BAR,Brooklyn,574,MARCY AVENUE,11206,9176620727,Coffee/Tea,9/6/24,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,9,A
41429791,RASPBERRY DELI & GROCERY,Manhattan,2127,2 AVENUE,10029,2128602615,Sandwiches,9/6/24,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,28,
