CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE
40876618,BIJAN'S,Brooklyn,7981,HOYT STREET,,7188555574,American,9/3/24,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,21,Z
50002464,SUBWAY,Manhattan,334,GRAND STREET,10002,2127772372,Sandwiches,9/3/24,Violations were cited in the following area(s).,04M,Live roaches in facility's food or non-food area.,Critical,21,
50054796,SUBWAY,Queens,3447,JUNCTION BLVD,11372,7183588682,Sandwiches,9/3/24,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,4,A
50070997,CARIBBEAN AMERICAN CUISINE,Queens,19917,MURDOCK AVE,11412,3476662371,Caribbean,9/3/24,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,95,
50040296,GAMMEEOK,Manhattan,9,WEST   32 STREET,10001,2128681180,Korean,9/3/24,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,46,Z
50149445,GC BAKERY,Brooklyn,1625,NOSTRAND AVENUE,11226,6464578739,Caribbean,9/3/24,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,48,N
50067257,SAJHOMA RESTAURANT,Brooklyn,408,NEW LOTS AVENUE,11207,3476737555,Spanish,9/3/24,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,12,A
50153619,GANGNAM KOREAN BBQ & HOT POT,Manhattan,125,DIVISION STREET,10002,6468828883,Asian/Asian Fusion,9/3/24,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,33,N
50146922,OL DAYS,Manhattan,73,WARREN STREET,10007,3056999651,Coffee/Tea,9/3/24,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,68,Z
50135299,SHAJI BBQ,Queens,4173A,BOWNE ST,11355,3477329668,Chinese,9/3/24,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,14,
41177892,LAKE COMO PIZZA,Manhattan,2549,AMSTERDAM AVENUE,10033,2127400110,Jewish/Kosher,9/3/24,Violations were cited in the following area(s).,06A,Personal cleanliness is inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn where required. Jewelry worn on hands or arms. Fingernail polish worn or fingernails not kept clean and trimmed.,Critical,12,A
50157669,RE LA GUN TANG,Brooklyn,5304,8 AVENUE,11220,3477991138,Chinese,9/3/24,Violations were cited in the following area(s).,20-04,"“Choking first aid” poster not posted. “Alcohol and Pregnancy” warning sign not posted. Resuscitation equipment: exhaled air resuscitation masks (adult & pediatric), latex gloves, sign not posted.",Not Critical,,
50152173,YIXIN RESTAURANT,Brooklyn,8510,20 AVENUE,11214,9295009164,Chinese,9/3/24,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,56,N
50150685,DIPPING DUMPLINGS,Queens,2710,23RD AVE,11105,9174151878,Asian/Asian Fusion,9/3/24,Violations were cited in the following area(s).,10E,"Accurate thermometer not provided or properly located in refrigerated, cold storage or hot holding equipment",Not Critical,4,A
50144234,CAFE BOULUD,Manhattan,100,EAST   63 STREET,10065,6465197096,French,9/3/24,Violations were cited in the following area(s).,09E,Wash hands sign not posted near or above hand washing sink.,Not Critical,12,A
50149714,BLUE BOTTLE COFFEE,Manhattan,22,BROAD STREET,10005,5106533394,Coffee/Tea,9/3/24,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,25,N
50148740,MOKA & CO,Queens,2854,STEINWAY ST,11103,3127991997,Coffee/Tea,9/3/24,Violations were cited in the following area(s).,10H,"Single service article not provided. Single service article reused or not protected from contamination when transported, stored, dispensed. Drinking straws not completely enclosed in wrapper or dispensed from a sanitary device.",Not Critical,42,Z
50145759,FULL MOON PIZZA,Bronx,600,EAST  187 STREET,10458,9175576550,Other,9/3/24,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,19,N
50149445,GC BAKERY,Brooklyn,1625,NOSTRAND AVENUE,11226,6464578739,Caribbean,9/3/24,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,05H,No approved written standard operating procedure for avoiding contamination by refillable returnable containers.,Critical,48,N
50072141,LAYALI BEIRUT,Queens,2560,STEINWAY ST,11103,7187211400,Mediterranean,9/3/24,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,39,
50158121,LAANKEE,Brooklyn,5502,8 AVENUE,11220,9179090121,Coffee/Tea,9/3/24,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,40,N
50040296,GAMMEEOK,Manhattan,9,WEST   32 STREET,10001,2128681180,Korean,9/3/24,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,46,Z
50148883,MOLLY TEA,Queens,3711C,PRINCE ST,11354,9172387551,Other,9/3/24,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,27,N
50154204,COFFEE PRO,Queens,2333,ASTORIA BLVD,11102,6463797448,Coffee/Tea,9/3/24,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,22,N
50104920,VINEAPPLE,Brooklyn,71,PINEAPPLE STREET,11201,3477991035,American,9/3/24,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,11,A
50148740,MOKA & CO,Queens,2854,STEINWAY ST,11103,3127991997,Coffee/Tea,9/3/24,Violations were cited in the following area(s).,05D,"No hand washing facility in or adjacent to toilet room or within 25 feet of a food preparation, food service or ware washing area. Hand washing facility not accessible, obstructed or used for non-hand washing purposes. No hot and cold running water or water at inadequate pressure. No soap or acceptable hand-drying device.",Critical,42,Z
50046741,STOP809,Manhattan,537,WEST  207 STREET,10034,6469187369,Latin American,9/3/24,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12,A
50154204,COFFEE PRO,Queens,2333,ASTORIA BLVD,11102,6463797448,Coffee/Tea,9/3/24,Violations were cited in the following area(s).,04A,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,Critical,22,N
50042664,MR PURPLE,Manhattan,180,ORCHARD STREET,10002,2122371790,American,9/3/24,Violations were cited in the following area(s).,19-01,Organics mixed with non-organic material,Not Critical,,
50001029,EL VIEJO GRAN CAFE,Bronx,498,EAST  138 STREET,10454,7189933932,Spanish,9/3/24,Establishment re-opened by DOHMH.,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,3,Z
50067257,SAJHOMA RESTAURANT,Brooklyn,408,NEW LOTS AVENUE,11207,3476737555,Spanish,9/3/24,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A
50049899,IHOP,Manhattan,4168,BROADWAY,10033,2129273777,Pancakes/Waffles,9/3/24,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,61,Z
50152633,LITTLE CAESAR PIZZA,Bronx,1270,CASTLE HILL AVENUE,10462,9174163773,Pizza,9/3/24,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2,A
50153603,KAIRIBBEAN ISLAND MIX,Brooklyn,393,NEW LOTS AVENUE,11207,9174128252,Caribbean,9/3/24,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,27,N
50153619,GANGNAM KOREAN BBQ & HOT POT,Manhattan,125,DIVISION STREET,10002,6468828883,Asian/Asian Fusion,9/3/24,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,33,N
50074343,STOP & ENJOY,Queens,3812,20TH AVE,11105,7182786652,Sandwiches,9/3/24,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,13,A
41369239,NATIONAL BAKERY,Bronx,2214,WESTCHESTER AVENUE,10462,7187940360,Bakery Products/Desserts,9/3/24,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12,A
50069127,KIKI'S GRILL & ROTISSERIE (#2),Manhattan,121,DIVISION STREET,10002,3473618054,Greek,9/3/24,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A
50157669,RE LA GUN TANG,Brooklyn,5304,8 AVENUE,11220,3477991138,Chinese,9/3/24,Violations were cited in the following area(s).,06A,Personal cleanliness is inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn where required. Jewelry worn on hands or arms. Fingernail polish worn or fingernails not kept clean and trimmed.,Critical,72,N
50135299,SHAJI BBQ,Queens,4173A,BOWNE ST,11355,3477329668,Chinese,9/3/24,Violations were cited in the following area(s).,28-01,"Nuisance created or allowed to exist. Facility not free from unsafe, hazardous, offensive or annoying condition.",Not Critical,,
50154144,THE DOZZY COFFEE,Brooklyn,390,METROPOLITAN AVENUE,11211,9297323983,Other,9/3/24,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,24,N
50150685,DIPPING DUMPLINGS,Queens,2710,23RD AVE,11105,9174151878,Asian/Asian Fusion,9/3/24,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,4,A
50065747,SUBWAY,Brooklyn,2915,STILLWELL AVENUE,11224,7189750730,Sandwiches,9/3/24,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10,A
50040296,GAMMEEOK,Manhattan,9,WEST   32 STREET,10001,2128681180,Korean,9/3/24,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,46,Z
50151951,UNIQUE GREEN,Manhattan,1239,1 AVENUE,10065,5162201869,American,9/3/24,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,84,N
50073729,JACK JONES,Queens,3801,DITMARS BLVD,11105,9148267968,American,9/3/24,Violations were cited in the following area(s).,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical,13,A
50072141,LAYALI BEIRUT,Queens,2560,STEINWAY ST,11103,7187211400,Mediterranean,9/3/24,Violations were cited in the following area(s).,04M,Live roaches in facility's food or non-food area.,Critical,39,
50154614,Happy Garden,Queens,19617,LINDEN BLVD,11412,7182889259,Chinese,9/3/24,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,40,N
50154204,COFFEE PRO,Queens,2333,ASTORIA BLVD,11102,6463797448,Coffee/Tea,9/3/24,Violations were cited in the following area(s).,20-01,Food allergy information poster not conspicuously posted where food is being prepared or processed by food workers.,Not Critical,,
50148883,MOLLY TEA,Queens,3711C,PRINCE ST,11354,9172387551,Other,9/3/24,Violations were cited in the following area(s).,10G,"Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.",Not Critical,27,N
41650425,NATHAN'S FAMOUS,Brooklyn,1205,BOARDWALK,11224,7187147207,Hotdogs,9/3/24,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,27,Z
50151951,UNIQUE GREEN,Manhattan,1239,1 AVENUE,10065,5162201869,American,9/3/24,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,02B,Hot TCS food item not held at or above 140 °F.,Critical,84,N
50146922,OL DAYS,Manhattan,73,WARREN STREET,10007,3056999651,Coffee/Tea,9/3/24,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,68,Z
