CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location Point1
50062554,LA CASA DEL POLLO AND JUICE BAR,Manhattan,4231,BROADWAY,10033,2127955500,Spanish,8/26/25,Violations were cited in the following area(s).,04M,Live roaches in facility's food or non-food area.,Critical,35,,,9/5/25,Cycle Inspection / Initial Inspection,40.84926197,-73.93671588,112,10,026500,1064269,1021760050,MN36,
50140856,OLIYO,Manhattan,431,7 AVENUE,10001,6463987874,American,8/26/25,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,13,A,8/26/25,9/5/25,Cycle Inspection / Re-inspection,40.75070965,-73.99081094,105,03,010100,1015218,1008090082,MN17,
41301130,TAURO RESTAURANT,Manhattan,284,HUDSON STREET,10013,2122068530,Latin American,8/26/25,Violations were cited in the following area(s).,19-10,Failure to display required signage about plastic straw availability,Not Critical,,,,9/5/25,Administrative Miscellaneous / Initial Inspection,40.725425,-74.00761615,102,03,003700,1009736,1005790002,MN24,
50162203,SUSHI WASABI RESTAURANT,Queens,15814,NORTHERN BLVD,11358,3475423282,Japanese,8/26/25,Violations were cited in the following area(s).,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical,29,,,9/5/25,Pre-permit (Non-operational) / Initial Inspection,40.76340712,-73.80711176,407,20,117100,4119366,4052770025,QN51,
50114909,CHIPOTLE MEXICAN GRILL #3957,Bronx,2902,3 AVENUE,10455,3478834845,Mexican,8/26/25,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,26,,,9/5/25,Cycle Inspection / Initial Inspection,40.81686379,-73.91637774,201,17,007100,2001160,2023620007,BX34,
50109440,CRIF DOGS / PLEASE DON'T TELL,Manhattan,113,SAINT MARKS PLACE,10009,6469228524,Hotdogs,8/26/25,Violations were cited in the following area(s).,04K,Evidence of rats or live rats in establishment's food or non-food areas.,Critical,25,,,9/5/25,Cycle Inspection / Initial Inspection,40.72729615,-73.98457966,103,02,003200,1005885,1004360040,MN22,
50174896,HUEJOTZINGO MIXED RESTAURANT,Brooklyn,646,MANHATTAN AVENUE,11222,3476109232,Tex-Mex,8/26/25,Violations were cited in the following area(s).,05F,"Insufficient or no hot holding, cold storage or cold holding equipment provided to maintain Time/Temperature Control for Safety Foods (TCS) at required temperatures",Critical,144,N,,9/5/25,Pre-permit (Non-operational) / Initial Inspection,40.72439379,-73.95113617,301,33,056900,3066106,3026470040,BK76,
50114909,CHIPOTLE MEXICAN GRILL #3957,Bronx,2902,3 AVENUE,10455,3478834845,Mexican,8/26/25,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,26,,,9/5/25,Cycle Inspection / Initial Inspection,40.81686379,-73.91637774,201,17,007100,2001160,2023620007,BX34,
50174862,Broad Nosh Bagels,Manhattan,425,MADISON AVENUE,10017,9174091490,Bagels/Pretzels,8/26/25,Violations were cited in the following area(s).,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical,13,N,,9/5/25,Pre-permit (Non-operational) / Initial Inspection,40.75707538,-73.97614441,105,04,009400,1035443,1012840052,MN17,
50000549,ANASSA TAVERNA,Manhattan,200,EAST   60 STREET,10022,2123715200,Greek,8/26/25,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,37,,,9/5/25,Cycle Inspection / Initial Inspection,40.76202431,-73.96579686,108,05,011000,1043356,1014140045,MN31,
41301130,TAURO RESTAURANT,Manhattan,284,HUDSON STREET,10013,2122068530,Latin American,8/26/25,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,8/26/25,9/5/25,Cycle Inspection / Re-inspection,40.725425,-74.00761615,102,03,003700,1009736,1005790002,MN24,
50088651,GLENDALE BAGELS,Queens,6935,MYRTLE AVE,11385,7183811363,American,8/26/25,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,36,,,9/5/25,Cycle Inspection / Initial Inspection,40.70187724,-73.88170477,405,30,062500,4089698,4036850054,QN19,
50126992,WE VILLAGE CORP,Queens,15304,NORTHERN BLVD,11354,7187990321,Korean,8/26/25,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,21,Z,8/26/25,9/5/25,Cycle Inspection / Re-inspection,40.76482569,-73.81178618,407,20,115500,4119197,4052660015,QN51,
50155979,BEST FOOD & COFFEE RESTAURANT,Manhattan,274,EAST    3 STREET,10009,3478812219,Spanish,8/26/25,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,24,Z,8/26/25,9/5/25,Cycle Inspection / Re-inspection,40.72147107,-73.98015445,103,02,002202,1004355,1003720010,MN28,
50109440,CRIF DOGS / PLEASE DON'T TELL,Manhattan,113,SAINT MARKS PLACE,10009,6469228524,Hotdogs,8/26/25,Violations were cited in the following area(s).,16-02,"The original nutrition fact labels or ingredient label for a cooking oil, shortening or margarine or food item sold in bulk, or acceptable manufacturer’s documentation not maintained on site.",Not Applicable,,,,9/5/25,Trans Fat / Initial Inspection,40.72729615,-73.98457966,103,02,003200,1005885,1004360040,MN22,
50146979,SHAHI KITCHEN,Queens,16716,HILLSIDE AVE,11432,9297335811,Bangladeshi,8/26/25,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,36,Z,8/26/25,9/5/25,Cycle Inspection / Re-inspection,40.70980611,-73.79537879,412,24,046000,4210084,4098180075,QN61,
50129050,CREME CUISINE,Brooklyn,1031,EAST   92 STREET,11236,7182887666,Caribbean,8/26/25,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,58,,,9/5/25,Cycle Inspection / Initial Inspection,40.64384366,-73.90781029,318,46,096400,3229213,3081610036,BK50,
50129050,CREME CUISINE,Brooklyn,1031,EAST   92 STREET,11236,7182887666,Caribbean,8/26/25,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,58,,,9/5/25,Cycle Inspection / Initial Inspection,40.64384366,-73.90781029,318,46,096400,3229213,3081610036,BK50,
50092593,TWELVE CHAIRS,Manhattan,56-58,MACDOUGAL ST,10012,2123616164,Mediterranean,8/26/25,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,8/26/25,9/5/25,Cycle Inspection / Re-inspection,40.7274838,-74.00259412,102,01,004900,1008067,1005180010,MN24,
50003214,WILLIAMSBURG PIZZA,Manhattan,277,BROOME STREET,10002,2122264455,Pizza,8/26/25,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,28,Z,8/26/25,9/5/25,Cycle Inspection / Re-inspection,40.71844498,-73.99133849,103,01,001800,1005436,1004130014,MN27,
50136734,CAFE W,Queens,3529,154TH ST,11354,7187990264,Bakery Products/Desserts,8/26/25,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,20,Z,8/26/25,9/5/25,Cycle Inspection / Re-inspection,40.76581224,-73.81083394,407,19,117100,4620344,4052650010,QN51,
41708320,CATSKILL BAGEL CO.,Brooklyn,1416,CORTELYOU ROAD,11226,7182825049,Bagels/Pretzels,8/26/25,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,50,,,9/5/25,Cycle Inspection / Initial Inspection,40.64091381,-73.96506646,314,40,052000,3118678,3051570008,BK42,
50013026,CHIPOTLE MEXICAN GRILL,Manhattan,1020,3 AVENUE,10065,6463603229,Tex-Mex,8/26/25,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,18,,,9/5/25,Cycle Inspection / Initial Inspection,40.7625129,-73.96589046,108,04,011402,1041928,1013950037,MN40,
40364443,CRIMINAL COURT BLDG CAFETERIA,Manhattan,100,CENTRE STREET,10013,2129621037,American,8/26/25,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,8/26/25,9/5/25,Cycle Inspection / Re-inspection,40.71607657,-74.0014249,101,01,002900,1079000,1001670001,MN27,
50073820,ROSE FLOWER KITCHEN,Bronx,383,BEDFORD PARK BOULEVARD,10458,7183643542,Chinese,8/26/25,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,28-06,Contract with a pest management professional not in place. Record of extermination activities not kept on premises.,Not Critical,45,,,9/5/25,Cycle Inspection / Initial Inspection,40.86769287,-73.88397211,207,11,041500,2016429,2032800003,BX05,
50069153,MEXICOCIANA,Bronx,503,JACKSON AVENUE,10455,3474981055,Mexican,8/26/25,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical,59,,,9/5/25,Cycle Inspection / Re-inspection,40.81205802,-73.90950549,201,08,003500,2003696,2025570078,BX39,
50159410,GRIZZLY COFFEE,Brooklyn,992,CONEY ISLAND AVENUE,11230,3475278080,Coffee/Tea,8/26/25,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical,86,,,9/5/25,Pre-permit (Operational) / Compliance Inspection,40.63337999,-73.96710603,314,45,048200,3128002,3054250082,BK42,
50077270,NY GO GO FAST FOOD,Queens,13546,ROOSEVELT AVE,11354,6462553366,Chinese,8/26/25,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,25,Z,8/26/25,9/5/25,Cycle Inspection / Re-inspection,40.75923165,-73.83105612,407,20,087100,4114119,4050360036,QN22,
50136734,CAFE W,Queens,3529,154TH ST,11354,7187990264,Bakery Products/Desserts,8/26/25,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,20,Z,8/26/25,9/5/25,Cycle Inspection / Re-inspection,40.76581224,-73.81083394,407,19,117100,4620344,4052650010,QN51,
50145396,WARREN STREET BAR & RESTAURANT,Manhattan,86,WARREN STREET,10007,2122558686,American,8/26/25,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,10,A,8/26/25,9/5/25,Cycle Inspection / Re-inspection,40.71537068,-74.01061266,101,01,002100,1000000,1001370010,MN24,
50122793,FILIPINIANA,Queens,8405,QUEENS BLVD,11373,3478088817,Filipino,8/26/25,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,13,A,8/26/25,9/5/25,Cycle Inspection / Initial Inspection,40.73712574,-73.87922426,404,25,047300,4541352,4015487501,QN29,
50081388,MAY KAIDEE,Manhattan,215,EAST BROADWAY,10002,9174437885,Thai,8/26/25,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,32,,,9/5/25,Cycle Inspection / Initial Inspection,40.71427806,-73.98741436,103,01,000600,1003697,1002850018,MN28,
50109076,PIZZA HUT,Bronx,601,WESTCHESTER AVENUE,10455,7185851401,Pizza,8/26/25,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,8/26/25,9/5/25,Cycle Inspection / Re-inspection,40.8159731,-73.91088023,201,17,007500,2115751,2026240086,BX34,
50105106,ESTRELLITA POBLANA,Bronx,374,EAST  204 STREET,10467,7186848801,Mexican,8/26/25,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10,A,8/26/25,9/5/25,Cycle Inspection / Initial Inspection,40.87153124,-73.87722915,207,11,042500,2017896,2033310048,BX43,
50115043,ALL & SUNDRY,Manhattan,312,WEST   58 STREET,10019,6469644703,American,8/26/25,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,27,,,9/5/25,Cycle Inspection / Initial Inspection,40.76766314,-73.98304319,104,03,013900,1026056,1010480041,MN15,
50173592,MIMI'S,Manhattan,231,LAFAYETTE STREET,10012,3322568965,American,8/26/25,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,12,A,8/26/25,9/5/25,Pre-permit (Operational) / Initial Inspection,40.72246636,-73.9970417,102,01,004300,1077756,1004950001,MN24,
50000549,ANASSA TAVERNA,Manhattan,200,EAST   60 STREET,10022,2123715200,Greek,8/26/25,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,37,,,9/5/25,Cycle Inspection / Initial Inspection,40.76202431,-73.96579686,108,05,011000,1043356,1014140045,MN31,
50019273,SUBWAY,Manhattan,221,EAST BROADWAY,10002,9173882499,Sandwiches,8/26/25,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,30,Z,8/26/25,9/5/25,Cycle Inspection / Re-inspection,40.71431369,-73.98696705,103,01,000201,1003735,1002860040,MN28,
50173592,MIMI'S,Manhattan,231,LAFAYETTE STREET,10012,3322568965,American,8/26/25,Violations were cited in the following area(s).,10D,"Mechanical or natural ventilation not provided, inadequate, improperly installed, in disrepair or fails to prevent and control excessive build-up of grease, heat, steam condensation, vapors, odors, smoke or fumes.",Not Critical,12,A,8/26/25,9/5/25,Pre-permit (Operational) / Initial Inspection,40.72246636,-73.9970417,102,01,004300,1077756,1004950001,MN24,
50165754,SARKUS JAPAN,Queens,3154,STEINWAY ST,11103,6466373383,Japanese,8/26/25,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,10E,"Accurate thermometer not provided or properly located in refrigerated, cold storage or hot holding equipment",Not Critical,72,N,,9/5/25,Pre-permit (Operational) / Re-inspection,40.76005965,-73.91812063,401,22,015500,4010535,4006580064,QN70,
50129626,UNCLE TED'S,Manhattan,38,EAST    8 STREET,10003,2127771395,Chinese,8/26/25,Violations were cited in the following area(s).,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical,29,Z,8/26/25,9/5/25,Cycle Inspection / Re-inspection,40.73140047,-73.99436765,102,02,005900,1008834,1005480012,MN23,
50013026,CHIPOTLE MEXICAN GRILL,Manhattan,1020,3 AVENUE,10065,6463603229,Tex-Mex,8/26/25,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,18,,,9/5/25,Cycle Inspection / Initial Inspection,40.7625129,-73.96589046,108,04,011402,1041928,1013950037,MN40,
