CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE
50048260,ZOUJI BBQ,Queens,4283,MAIN ST,11355,7183530086,Chinese,9/4/24,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,103,
50153701,PIZZAZZ,Manhattan,38,UNION SQUARE EAST,10003,3477519627,Pizza,9/4/24,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A
50154670,ATEAZ,Manhattan,71,GREENWICH STREET,10006,2125358333,American,9/4/24,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,37,N
50056316,KNAPP STREET BAGEL CAFE,Brooklyn,2145,KNAPP STREET,11229,7189431525,American,9/4/24,Establishment re-opened by DOHMH.,10E,"Accurate thermometer not provided or properly located in refrigerated, cold storage or hot holding equipment",Not Critical,7,Z
50119001,CASA DEL SABOR,Brooklyn,446,WILSON AVENUE,11221,7184839822,Spanish,9/4/24,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,25,Z
50146388,The Last Resort,Manhattan,432,EAST   13 STREET,10009,9177342025,Bottled Beverages,9/4/24,Violations were cited in the following area(s).,04K,Evidence of rats or live rats in establishment's food or non-food areas.,Critical,50,N
41710522,JUST SALAD,Manhattan,53,EAST    8 STREET,10003,2122441111,Salads,9/4/24,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,74,Z
50119001,CASA DEL SABOR,Brooklyn,446,WILSON AVENUE,11221,7184839822,Spanish,9/4/24,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,25,Z
50150953,BIANCO NEGO GELATO,Queens,3320,DITMARS BLVD,11105,9178821534,Frozen Desserts,9/4/24,Violations were cited in the following area(s).,04J,"Properly scaled and calibrated thermometer or thermocouple not provided or not readily accessible in food preparation and hot/cold holding areas to measure temperatures of TCS foods during cooking, cooling, reheating, and holding.",Critical,36,N
50146478,OTHERWAY KITCHEN,Queens,12118,14TH RD,11356,9179466821,Latin American,9/4/24,Violations were cited in the following area(s).,05C,"Food contact surface, refillable, reusable containers, or equipment improperly constructed, placed or maintained. Unacceptable material used. Culinary sink or other acceptable method not provided for washing food.",Critical,81,N
50009810,KUNG FU TEA,Queens,70-10,AUSTIN STREET,11375,7182683631,Coffee/Tea,9/4/24,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,27,
50152213,LITTLE HONEY,Brooklyn,487,7 AVENUE,11215,7187152918,American,9/4/24,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,20,Z
50009810,KUNG FU TEA,Queens,70-10,AUSTIN STREET,11375,7182683631,Coffee/Tea,9/4/24,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,27,
50146388,The Last Resort,Manhattan,432,EAST   13 STREET,10009,9177342025,Bottled Beverages,9/4/24,Violations were cited in the following area(s).,18-11,Food Protection Certificate not available for inspection,Not Critical,,
50112548,STARBUCKS PICKUP,Manhattan,111,UNIVERSITY PLACE,10003,3322081152,Coffee/Tea,9/4/24,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,9,A
50148333,YGF MALATANG,Manhattan,92,3 AVENUE,10003,6468608838,Chinese,9/4/24,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,44,N
50157246,Gotta Get A Bagel,Queens,10709,71ST AVE,11375,9173875327,American,9/4/24,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,74,N
50081720,COOKIES AND CREAM PASTRY SHOP,Queens,11928,METROPOLITAN AVE,11415,9292447006,Bakery Products/Desserts,9/4/24,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,10,A
50119001,CASA DEL SABOR,Brooklyn,446,WILSON AVENUE,11221,7184839822,Spanish,9/4/24,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,25,Z
50150107,MASTERL RICE NOODLE,Queens,4243,27TH ST,11101,9293280015,Chinese,9/4/24,Violations were cited in the following area(s).,04A,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,Critical,50,N
50148818,BARAKA DELI & GROCERY,Queens,2508,37TH AVE,11101,7184409049,American,9/4/24,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,72,N
50150107,MASTERL RICE NOODLE,Queens,4243,27TH ST,11101,9293280015,Chinese,9/4/24,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,50,N
50064120,ANTOJITOS MEXICANOS DELI,Brooklyn,5914,5 AVENUE,11220,3478162175,Mexican,9/4/24,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,19,Z
50154039,AMAR BARI,Brooklyn,1075,LIBERTY AVENUE,11208,9172507577,Bangladeshi,9/4/24,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,115,
50054721,CROWN FRIED CHICKEN & PIZZA,Brooklyn,5930,GLENWOOD ROAD,11234,7182097000,Chicken,9/4/24,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,30,Z
50115783,PRIMO PIZZERIA,Staten Island,1282,RICHMOND ROAD,10304,3475381572,Pizza,9/4/24,Violations were cited in the following area(s).,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical,25,Z
41710522,JUST SALAD,Manhattan,53,EAST    8 STREET,10003,2122441111,Salads,9/4/24,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,74,Z
50146388,The Last Resort,Manhattan,432,EAST   13 STREET,10009,9177342025,Bottled Beverages,9/4/24,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,50,N
41621477,DUET,Brooklyn,6181,STRICKLAND AVENUE,11234,7186766219,Bakery Products/Desserts,9/4/24,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,25,Z
50100645,BLOOM BOTANICAL BISTRO,Queens,10319,METROPOLITAN AVE,11375,5166448461,American,9/4/24,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,12,A
50146478,OTHERWAY KITCHEN,Queens,12118,14TH RD,11356,9179466821,Latin American,9/4/24,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,81,N
50146402,REFRESH CO,Queens,6010,KISSENA BLVD,11355,5164691028,"Juice, Smoothies, Fruit Salads",9/4/24,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,30,N
50148818,BARAKA DELI & GROCERY,Queens,2508,37TH AVE,11101,7184409049,American,9/4/24,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,05F,"Insufficient or no hot holding, cold storage or cold holding equipment provided to maintain Time/Temperature Control for Safety Foods (TCS) at required temperatures",Critical,72,N
41389861,WINE 30,Manhattan,41,EAST   30 STREET,10016,2124810197,Mediterranean,9/4/24,Violations were cited in the following area(s).,04M,Live roaches in facility's food or non-food area.,Critical,26,
50154039,AMAR BARI,Brooklyn,1075,LIBERTY AVENUE,11208,9172507577,Bangladeshi,9/4/24,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,06F,"Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.",Critical,115,
50147088,UTSHOB RESTAURANT,Manhattan,130,1 AVENUE,10009,3473691676,Indian,9/4/24,Violations were cited in the following area(s).,10G,"Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.",Not Critical,61,N
50112548,STARBUCKS PICKUP,Manhattan,111,UNIVERSITY PLACE,10003,3322081152,Coffee/Tea,9/4/24,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A
50068085,JOE & THE JUICE,Manhattan,67,WALL ST,10005,9294342330,"Juice, Smoothies, Fruit Salads",9/4/24,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,7,A
41710522,JUST SALAD,Manhattan,53,EAST    8 STREET,10003,2122441111,Salads,9/4/24,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,74,Z
50132299,THE AUGUST TREE,Queens,126,MERIDIAN ROAD,11355,9175361436,Bakery Products/Desserts,9/4/24,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,8,A
50115783,PRIMO PIZZERIA,Staten Island,1282,RICHMOND ROAD,10304,3475381572,Pizza,9/4/24,Violations were cited in the following area(s).,04A,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,Critical,25,Z
50038475,BAILEY SEAFOOD MARKET & RESTAURANT,Bronx,146,WEST  231 STREET,10463,3479646295,Seafood,9/4/24,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,27,Z
41621477,DUET,Brooklyn,6181,STRICKLAND AVENUE,11234,7186766219,Bakery Products/Desserts,9/4/24,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,25,Z
50118693,CROWN FRIED CHICKEN,Brooklyn,332,CENTRAL AVENUE,11221,9173613272,Chicken,9/4/24,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,25,Z
50148818,BARAKA DELI & GROCERY,Queens,2508,37TH AVE,11101,7184409049,American,9/4/24,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,04J,"Properly scaled and calibrated thermometer or thermocouple not provided or not readily accessible in food preparation and hot/cold holding areas to measure temperatures of TCS foods during cooking, cooling, reheating, and holding.",Critical,72,N
50117282,FOREST HILLS EXPRESS CAFE,Queens,6366,108TH ST,11375,7182556636,American,9/4/24,Violations were cited in the following area(s).,04A,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,Critical,63,
50146326,AQUA BAR & GRILL,Bronx,2241,WASHINGTON AVENUE,10457,3473230576,Spanish,9/4/24,Violations were cited in the following area(s).,08C,"Pesticide not properly labeled or used by unlicensed individual. Pesticide, other toxic chemical improperly used/stored. Unprotected, unlocked bait station used.",Not Critical,25,N
50048260,ZOUJI BBQ,Queens,4283,MAIN ST,11355,7183530086,Chinese,9/4/24,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,09C,"Design, construction, materials used or maintenance of food contact surface improper. Surface not easily cleanable, sanitized and maintained.",Not Critical,103,
40393243,BUDDY'S BURRITO & TACO BAR,Brooklyn,260,COURT STREET,11231,7184888695,Tex-Mex,9/4/24,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,9,A
50148333,YGF MALATANG,Manhattan,92,3 AVENUE,10003,6468608838,Chinese,9/4/24,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,44,N
40790306,STARBUCKS,Queens,13811,20 AVENUE,11356,7185394072,Coffee/Tea,9/4/24,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,3,A
50064186,WASABI SUSHI & BENTO,Manhattan,185,GREENWICH STREET,10007,9293024868,Japanese,9/4/24,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,28,Z
50146478,OTHERWAY KITCHEN,Queens,12118,14TH RD,11356,9179466821,Latin American,9/4/24,Violations were cited in the following area(s).,09C,"Design, construction, materials used or maintenance of food contact surface improper. Surface not easily cleanable, sanitized and maintained.",Not Critical,81,N
50138107,IRIS TEA & BAKERY,Queens,3907,PRINCE ST,11354,6462628698,Bakery Products/Desserts,9/4/24,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,13,A
