CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE
50126709,FINI PIZZA,Brooklyn,305,BEDFORD AVENUE,11211,3472449046,Pizza,8/30/23,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,10,A
50102282,MISAKI,Staten Island,645,ROSSVILLE AVENUE,10309,7189668882,Japanese,8/30/23,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,12,A
50134042,TACO KING,Queens,6405,108TH ST,11375,3477685228,Tex-Mex,8/30/23,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,7,A
50129207,JAMESONS BAR & KITCHEN,Manhattan,920,2 AVENUE,10017,9146106989,Irish,8/30/23,Violations were cited in the following area(s).,10G,"Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.",Not Critical,7,A
50124279,CHIHIRO TEA,Manhattan,552,LAGUARDIA PLACE,10012,6463794818,Coffee/Tea,8/30/23,Violations were cited in the following area(s).,06F,"Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.",Critical,68,N
50140849,DELICIOUS HEALTHY BITE,Queens,9904,41ST AVE,11368,9293934277,American,8/30/23,Violations were cited in the following area(s).,20-01,Food allergy information poster not conspicuously posted where food is being prepared or processed by food workers.,Not Critical,,
50003874,PALACE OF JAPAN,Bronx,3505,JOHNSON AVENUE,10463,7185438833,Japanese,8/30/23,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,26,Z
41598063,FOREST HILLS BAGELS,Queens,11210,QUEENS BOULEVARD,11375,7182635858,American,8/30/23,Violations were cited in the following area(s).,10G,"Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.",Not Critical,33,Z
50002594,STARBUCKS,Brooklyn,395,FLATBUSH AVENUE,11238,7188588070,Coffee/Tea,8/30/23,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,10,A
50117699,HOT PEPPERS MEXICAN GRILL,Queens,2821,STEINWAY ST,11103,3477834924,Mexican,8/30/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,
40368291,COLONNADE DINER,Staten Island,2001,HYLAN BOULEVARD,10306,7183512900,American,8/30/23,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,100,
40368291,COLONNADE DINER,Staten Island,2001,HYLAN BOULEVARD,10306,7183512900,American,8/30/23,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,100,
50139472,SHANGHAI YOU GARDEN,Queens,13531,40TH RD,11354,7183591688,Chinese,8/30/23,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,23,N
50138990,SPY C CUISINE,Queens,7206,AUSTIN ST,11375,7182630357,Chinese,8/30/23,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,57,N
