CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE
41551165,SUNRISE MART,Manhattan,12,EAST   41 STREET,10017,6463809280,Asian/Asian Fusion,9/5/24,Violations were cited in the following area(s).,04M,Live roaches in facility's food or non-food area.,Critical,51,Z
50134156,CANTINA CUBANA,Manhattan,17,AVENUE B,10009,9174450790,Spanish,9/5/24,Violations were cited in the following area(s).,05D,"No hand washing facility in or adjacent to toilet room or within 25 feet of a food preparation, food service or ware washing area. Hand washing facility not accessible, obstructed or used for non-hand washing purposes. No hot and cold running water or water at inadequate pressure. No soap or acceptable hand-drying device.",Critical,12,A
50149795,POETICA COFFEE,Manhattan,36,SAINT MARKS PLACE,10003,9177975131,Coffee/Tea,9/5/24,Violations were cited in the following area(s).,10G,"Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.",Not Critical,12,A
50073904,PORTAL LATINO RESTAURANT,Brooklyn,217,SMITH STREET,11201,7182461416,Spanish,9/5/24,Violations were cited in the following area(s).,10D,"Mechanical or natural ventilation not provided, inadequate, improperly installed, in disrepair or fails to prevent and control excessive build-up of grease, heat, steam condensation, vapors, odors, smoke or fumes.",Not Critical,26,Z
50144489,JALAPENOS PIZZA,Bronx,239,BEDFORD PARK BOULEVARD,10458,9149186888,Pizza,9/5/24,Violations were cited in the following area(s).,08C,"Pesticide not properly labeled or used by unlicensed individual. Pesticide, other toxic chemical improperly used/stored. Unprotected, unlocked bait station used.",Not Critical,28,N
50101680,SALLY'S,Brooklyn,151,TOMPKINS AVENUE,11206,9178682613,Caribbean,9/5/24,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,18,
50073904,PORTAL LATINO RESTAURANT,Brooklyn,217,SMITH STREET,11201,7182461416,Spanish,9/5/24,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,26,Z
50056254,KUNG FU TEA,Brooklyn,40,HOYT STREET,11201,3472940232,Korean,9/5/24,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A
41551165,SUNRISE MART,Manhattan,12,EAST   41 STREET,10017,6463809280,Asian/Asian Fusion,9/5/24,Violations were cited in the following area(s).,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical,51,Z
50149795,POETICA COFFEE,Manhattan,36,SAINT MARKS PLACE,10003,9177975131,Coffee/Tea,9/5/24,Violations were cited in the following area(s).,06F,"Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.",Critical,12,A
50107812,TASTE OF AKKO,Brooklyn,1724,CONEY ISLAND AVENUE,11230,7185522818,Mediterranean,9/5/24,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,12,A
50153343,HOLY COW BURGERS,Brooklyn,1460,FULTON STREET,11216,7183106092,Hamburgers,9/5/24,Violations were cited in the following area(s).,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical,20,N
50106062,BROADWAY PIZZA,Manhattan,2709,BROADWAY,10025,2128649298,Pizza,9/5/24,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,51,Z
50106640,CHEFSCAPE,Manhattan,116,WEST HOUSTON STREET,10012,7032971068,American,9/5/24,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,11,A
50048806,WIN SON,Brooklyn,159,GRAHAM AVENUE,11206,3474576010,Asian/Asian Fusion,9/5/24,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,27,
50122793,FILIPINIANA,Queens,8405,QUEENS BLVD,11373,3479688304,Filipino,9/5/24,Violations were cited in the following area(s).,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical,20,N
41040849,DISHES,Manhattan,6,EAST   45 STREET,10017,2126875511,American,9/5/24,Violations were cited in the following area(s).,09E,Wash hands sign not posted near or above hand washing sink.,Not Critical,13,A
50044252,OPEN MARKET,Manhattan,15,WILLIAM STREET,10005,2127855555,American,9/5/24,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,23,Z
41641855,TACOS Y QUESADILLAS MEXICO,Queens,10440,CORONA AVE,11368,7182714260,Tex-Mex,9/5/24,Establishment re-opened by DOHMH.,09E,Wash hands sign not posted near or above hand washing sink.,Not Critical,2,A
50150811,BREADS BAKERY,Manhattan,79,5 AVENUE,10003,2126332253,Bakery Products/Desserts,9/5/24,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7,A
50154764,ISLAND POPS,Brooklyn,670,NOSTRAND AVENUE,11216,3476401232,Frozen Desserts,9/5/24,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,10,A
50143999,CHICK-FIL-A,Bronx,76,W 225TH ST,10463,2032530542,Chicken,9/5/24,Violations were cited in the following area(s).,20-04,"“Choking first aid” poster not posted. “Alcohol and Pregnancy” warning sign not posted. Resuscitation equipment: exhaled air resuscitation masks (adult & pediatric), latex gloves, sign not posted.",Not Critical,,
50152644,CHAR SIU BAO BAKERY,Queens,25307,NORTHERN BLVD,11362,7183169767,Korean,9/5/24,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A
50073904,PORTAL LATINO RESTAURANT,Brooklyn,217,SMITH STREET,11201,7182461416,Spanish,9/5/24,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,26,Z
50148086,NAGLES BAGELS,Brooklyn,378,TOMPKINS AVENUE,11216,6463348245,Bagels/Pretzels,9/5/24,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,12,A
50153343,HOLY COW BURGERS,Brooklyn,1460,FULTON STREET,11216,7183106092,Hamburgers,9/5/24,Violations were cited in the following area(s).,04A,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,Critical,20,N
50009469,SHAKE SHACK,Brooklyn,1,OLD FULTON STREET,11201,3474352775,Hamburgers,9/5/24,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12,A
50152245,KENNEDY CHICKEN,Manhattan,85,PITT STREET,10002,9174182274,American,9/5/24,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,10G,"Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.",Not Critical,24,N
50042177,ABDULLAH SWEETS & RESTAURANT,Brooklyn,91,CHURCH AVENUE,11218,7187665381,Bangladeshi,9/5/24,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,72,
50097370,PEAKY BARISTA,Manhattan,2680,BROADWAY,10025,3478397474,Coffee/Tea,9/5/24,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,27,Z
50097040,TWO BOOTS WEST VILLAGE,Manhattan,101,7 AVENUE SOUTH,10014,6468632668,Pizza,9/5/24,Violations were cited in the following area(s).,04A,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,Critical,29,
50042177,ABDULLAH SWEETS & RESTAURANT,Brooklyn,91,CHURCH AVENUE,11218,7187665381,Bangladeshi,9/5/24,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,03A,"Food, prohibited, from unapproved or unknown source, home canned or home prepared.  Animal slaughtered, butchered or dressed (eviscerated, skinned) in establishment. Reduced Oxygen Packaged (ROP) fish not frozen before processing.  ROP food prepared on premises transported to another site.",Critical,72,
50153295,RESERVE CUT @ PARK,Manhattan,109,EAST   56 STREET,10022,3477766985,American,9/5/24,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,17,N
50151893,KAJIKEN RAMEN,Manhattan,1001,6 AVENUE,10018,6468861577,Japanese,9/5/24,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,27,Z
50147215,REY'S SMOOTHIE,Bronx,1320,JEROME AVENUE,10452,3473733485,"Juice, Smoothies, Fruit Salads",9/5/24,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,142,N
50122974,SENSHI RAMEN,Manhattan,100,PEARL STREET,10004,3473419904,Japanese,9/5/24,Violations were cited in the following area(s).,04A,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,Critical,10,A
50097370,PEAKY BARISTA,Manhattan,2680,BROADWAY,10025,3478397474,Coffee/Tea,9/5/24,Violations were cited in the following area(s).,04A,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,Critical,27,Z
41011581,WOGIES,Manhattan,39,GREENWICH AVENUE,10014,2122292171,American,9/5/24,Violations were cited in the following area(s).,10G,"Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.",Not Critical,10,A
50044252,OPEN MARKET,Manhattan,15,WILLIAM STREET,10005,2127855555,American,9/5/24,Violations were cited in the following area(s).,04M,Live roaches in facility's food or non-food area.,Critical,23,Z
