CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location Point1
50149716,YAYA TEA GRAMERCY,Manhattan,284,3 AVENUE,10010,9172614676,Japanese,8/27/25,Violations were cited in the following area(s).,05D,"No hand washing facility in or adjacent to toilet room or within 25 feet of a food preparation, food service or ware washing area. Hand washing facility not accessible, obstructed or used for non-hand washing purposes. No hot and cold running water or water at inadequate pressure. No soap or acceptable hand-drying device.",Critical,41,N,,9/5/25,Cycle Inspection / Initial Inspection,40.73831623,-73.98353062,106,02,006800,1018020,1008780036,MN21,
50110305,NATURAL BLEND VEGETARIAN CAFE & JUICE,Brooklyn,767,WASHINGTON AVENUE,11238,3479967360,Vegan,8/27/25,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,27,Z,8/27/25,9/5/25,Cycle Inspection / Re-inspection,40.6738807,-73.96299786,308,35,021500,3029427,3011740004,BK64,
50072800,ROCHDALE CHICKEN AND FISH,Queens,11829,GUY R BREWER BLVD,11434,7185937674,Chicken,8/27/25,Violations were cited in the following area(s).,02H,"After cooking or removal from hot holding, TCS food not cooled by an approved method whereby the internal temperature is reduced from 140 °F to 70 °F or less within 2 hours, and from 70 °F to 41 °F or less within 4 additional hours.",Critical,24,,,9/5/25,Cycle Inspection / Initial Inspection,40.68294068,-73.78222559,412,27,028400,4267633,4123540005,QN76,
50071988,HALSEY BAR & GRILL,Brooklyn,4404,AVENUE H,11234,3475872688,Caribbean,8/27/25,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,04A,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,Critical,62,,,9/5/25,Cycle Inspection / Initial Inspection,40.63248735,-73.93397154,318,45,072600,3214218,3077480041,BK58,
40729439,COSITAS RICAS,Queens,7919,ROOSEVELT AVENUE,11372,7184788136,Latin American,8/27/25,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,20,,,9/5/25,Cycle Inspection / Initial Inspection,40.7473711,-73.88645978,403,25,028500,4029972,4012900037,QN28,
50154039,AMAR BARI,Brooklyn,1075,LIBERTY AVENUE,11208,9172507577,Bangladeshi,8/27/25,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,55,Z,8/27/25,9/5/25,Cycle Inspection / Re-inspection,40.67834681,-73.86954637,305,37,119000,3093593,3041710029,BK83,
41702685,THE KEG ROOM,Manhattan,53,WEST   36 STREET,10018,2126431400,Irish,8/27/25,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,9,A,8/27/25,9/5/25,Cycle Inspection / Re-inspection,40.75064052,-73.98579775,105,04,008400,1015922,1008380012,MN17,
40729439,COSITAS RICAS,Queens,7919,ROOSEVELT AVENUE,11372,7184788136,Latin American,8/27/25,Violations were cited in the following area(s).,09C,"Design, construction, materials used or maintenance of food contact surface improper. Surface not easily cleanable, sanitized and maintained.",Not Critical,20,,,9/5/25,Cycle Inspection / Initial Inspection,40.7473711,-73.88645978,403,25,028500,4029972,4012900037,QN28,
50110305,NATURAL BLEND VEGETARIAN CAFE & JUICE,Brooklyn,767,WASHINGTON AVENUE,11238,3479967360,Vegan,8/27/25,Violations were cited in the following area(s).,02H,"After cooking or removal from hot holding, TCS food not cooled by an approved method whereby the internal temperature is reduced from 140 °F to 70 °F or less within 2 hours, and from 70 °F to 41 °F or less within 4 additional hours.",Critical,27,Z,8/27/25,9/5/25,Cycle Inspection / Re-inspection,40.6738807,-73.96299786,308,35,021500,3029427,3011740004,BK64,
50149716,YAYA TEA GRAMERCY,Manhattan,284,3 AVENUE,10010,9172614676,Japanese,8/27/25,Violations were cited in the following area(s).,09E,Wash hands sign not posted near or above hand washing sink.,Not Critical,41,N,,9/5/25,Cycle Inspection / Initial Inspection,40.73831623,-73.98353062,106,02,006800,1018020,1008780036,MN21,
50139745,REAL FRUIT BUBBLE TEA,Staten Island,2655,RICHMOND AVENUE,10314,2014913450,Coffee/Tea,8/27/25,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,45,Z,8/27/25,9/5/25,Cycle Inspection / Re-inspection,40.58229742,-74.16905259,502,51,027702,5039658,5024000180,SI24,
41477434,LITTLE CAESARS,Bronx,4,WEST MOUNT EDEN AVENUE,10452,3475909888,Pizza,8/27/25,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,25,Z,8/27/25,9/5/25,Cycle Inspection / Re-inspection,40.84441995,-73.91496952,204,16,020900,2008329,2028590044,BX63,
50150734,TASTE OF CHINA,Queens,4501,BROADWAY,11103,7189094926,Chinese,8/27/25,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,38,,,9/5/25,Cycle Inspection / Initial Inspection,40.7570408,-73.91487936,401,26,015300,4012532,4007110007,QN70,
